Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Albania,ALB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,69.1,71.3,73.1,75.2,76.6,78.3,79.6,80.7,82,83.1,83.6,84.6,..,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,99.9,99.9,100,100,99.9,99.9,100,100,100,100,100,100,..
Albania,ALB,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,22.6726112235836,..,..,33.5942341082043,..,..,38.1029578691588,..,..,..,45.6861097525436,..,..,41.1560488283684
Albania,ALB,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,33.6646774405553,..,..,42.5196913972188,..,..,42.0435031953365,..,..,..,42.5851653897092,..,..,51.4508986584924
Albania,ALB,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,..,27.9899243993596,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,..,6.01724800003936,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,88.24009,90.952,97.16724,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,85.88065,88.28107,93.89332,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.211874637429844,0.44292658442248,3.35831572834981,1.31969800578196,1.35754069781822,5.37176213399194,0.910995636390609,3.96135415760972,0.840796719621068,-3.18791119569724,11.2706345233625,..,..,..
Albania,ALB,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,8856551353.02279,8895779373.42836,9194527731.2855,9315867730.39635,9442334426.19139,9949554171.46242,10040194175.8048,10437921825.2201,10525683529.5232,10190134085.8618,11338626856.1199,..,..,..
Albania,ALB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3048.52216564561,3067.08602480428,3175.90174380831,3224.48334514657,3277.78824342231,3459.38969857541,3494.11672971086,3641.50475207024,3687.79928516457,3590.79503027181,4032.70760329282,..,..,..
